Area_name,Annual Average Violent Crimes
Alameda,"11,051"
Alpine,8
Amador,113
Butte,674
Calaveras,105
Colusa,47
Contra Costa,"4,212"
Del Norte,142
El Dorado,440
Fresno,"5,068"
Glenn,72
Humboldt,453
Imperial,521
Inyo,73
Kern,"4,767"
Kings,614
Lake,333
Lassen,123
Los Angeles,"46,969"
Madera,796
Marin,517
Mariposa,54
Mendocino,443
Merced,"1,563"
Modoc,43
Mono,51
Monterey,"1,951"
Napa,529
Nevada,274
Orange,"6,735"
Placer,720
Plumas,107
Riverside,"6,788"
Sacramento,"8,014"
San Benito,209
San Bernardino,"8,867"
San Diego,"11,496"
San Francisco,"5,716"
San Joaquin,"5,822"
San Luis Obispo,768
San Mateo,"1,711"
Santa Barbara,"1,714"
Santa Clara,"4,728"
Santa Cruz,"1,174"
Shasta,"1,352"
Sierra,14
Siskiyou,132
Solano,"1,860"
Sonoma,"1,790"
Stanislaus,"2,677"
Sutter,340
Tehama,357
Trinity,30
Tulare,"2,027"
Tuolumne,111
Ventura,"1,706"
Yolo,546
Yuba,292